"year","month","sumprecip","meanprecip","maxtemp","mintemp"
1980,1,15.24,0.662608695652174,21.5,-4
1980,2,30.226,1.04227586206897,24,-10
1980,3,5.08,0.163870967741935,24.5,-1
1980,4,0.508,0.0169333333333333,31,-2
1980,5,0.508,0.0163870967741935,34,2
1980,6,10.922,0.364066666666667,41,10
1980,7,60.706,1.95825806451613,39,18
1980,8,54.102,1.74522580645161,38,15
1980,9,58.674,1.9558,36,13
1980,10,1.778,0.0573548387096774,34,-2
1980,11,14.478,0.4826,NA,NA
1980,12,2.286,0.073741935483871,24,-4
1981,1,30.226,0.975032258064516,NA,NA
1981,2,10.668,0.381,26,-3.5
1981,3,34.036,1.09793548387097,NA,NA
1981,4,10.414,0.347133333333333,32,0
1981,5,3.048,0.0983225806451613,NA,NA
1981,6,77.724,2.5908,NA,NA
1981,7,81.28,2.62193548387097,39.4,11.1
1981,8,15.494,0.499806451612903,40.6,8.3
1981,9,56.134,1.87113333333333,37.8,8.3
1981,10,25.146,0.811161290322581,NA,NA
1981,11,1.016,0.0338666666666667,31.7,-4.5
1981,12,33.528,1.08154838709677,22,-4.5
1982,1,25.654,0.827548387096774,23.5,-6.5
1982,2,10.668,0.381,24,-6
1982,3,21.59,0.696451612903226,25,-4
1982,4,4.572,0.1524,NA,NA
1982,5,10.668,0.344129032258065,33.5,5
1982,6,4.318,0.143933333333333,37,11.5
1982,7,33.02,1.06516129032258,NA,NA
1982,8,72.644,2.34335483870968,34,15
1982,9,66.802,2.22673333333333,36,7.5
1982,10,0,0,31,2
1982,11,67.056,2.2352,23.5,-2.5
1982,12,65.278,16.3195,13.5,-5
1983,1,4.064,0.213894736842105,17.5,-4.5
1983,2,24.892,1.2446,NA,NA
1983,3,32.766,1.05696774193548,NA,NA
1983,4,9.398,0.313266666666667,26,-4
1983,5,0.254,0.00819354838709677,33,4
1983,6,0,0,35.5,10
1983,7,88.9,2.86774193548387,37,13
1983,8,4.572,0.147483870967742,35,16.5
1983,9,74.168,5.70523076923077,NA,NA
1983,10,89.408,2.88412903225806,28.5,8
1983,11,45.72,1.524,NA,NA
1983,12,27.432,0.884903225806452,NA,NA
1984,1,25.4,0.976923076923077,18,-4.5
1984,2,0,0,20,-4.5
1984,3,0,0,24,-6
1984,4,3.556,0.118533333333333,28,-1
1984,5,2.54,0.0819354838709677,35.5,NA
1984,6,21.336,0.7112,34,NA
1984,7,39.878,1.28638709677419,NA,NA
1984,8,78.486,2.5318064516129,NA,NA
1984,9,23.368,0.778933333333333,NA,NA
1984,10,55.88,1.80258064516129,NA,NA
1984,11,18.796,0.626533333333333,26,-4
1984,12,78.74,2.54,NA,NA
1985,1,19.304,0.714962962962963,NA,NA
1985,2,35.814,1.37746153846154,23,-5.5
1985,3,9.398,0.303161290322581,25,-1
1985,4,26.162,0.872066666666667,28.5,2
1985,5,0,0,32,6
1985,6,38.608,1.28693333333333,37,8.5
1985,7,93.98,3.03161290322581,36,15.5
1985,8,81.28,2.62193548387097,NA,NA
1985,9,71.12,2.37066666666667,31,7
1985,10,106.426,3.43309677419355,NA,NA
1985,11,12.192,0.4064,NA,NA
1985,12,7.62,0.245806451612903,NA,NA
1986,1,2.032,0.0655483870967742,28.6,-5.6
1986,2,24.892,0.889,25,-3.3
1986,3,18.288,0.762,NA,NA
1986,4,0,0,NA,NA
1986,5,5.842,0.188451612903226,32,4.5
1986,6,13.462,0.560916666666667,34.5,10.5
1986,7,68.326,2.20406451612903,36.5,13.5
1986,8,62.992,2.032,35,14
1986,9,40.386,1.3462,NA,NA
1986,10,62.738,2.0238064516129,NA,NA
1986,11,6.096,0.2032,NA,NA
1986,12,11.176,0.360516129032258,18,-3
1987,1,0.508,0.0195384615384615,NA,NA
1987,2,23.876,0.994833333333333,21.1,-1.1
1987,3,3.556,0.114709677419355,23.9,-1.7
1987,4,17.78,0.592666666666667,29.4,2.2
1987,5,9.652,0.311354838709677,28.9,7.2
1987,6,7.62,0.254,NA,NA
1987,7,89.408,2.88412903225806,NA,NA
1987,8,53.594,1.72883870967742,NA,NA
1987,9,46.482,1.5494,NA,NA
1987,10,12.7,0.409677419354839,NA,NA
1987,11,5.08,0.169333333333333,25.6,0
1987,12,49.53,1.59774193548387,23.3,-3.9
1988,1,22.352,0.721032258064516,NA,NA
1988,2,33.274,1.14737931034483,NA,NA
1988,3,6.096,0.196645161290323,NA,NA
1988,4,22.606,0.753533333333333,32.2,7.2
1988,5,0.254,0.00819354838709677,36.7,6.1
1988,6,24.384,1.10836363636364,NA,NA
1988,7,76.708,2.47445161290323,35.6,18.3
1988,8,156.464,5.04722580645161,NA,NA
1988,9,30.734,1.02446666666667,36.7,10
1988,10,61.722,1.99103225806452,29.4,10.6
1988,11,8.89,0.296333333333333,27.8,0.6
1988,12,16.256,0.524387096774194,20,-5
1989,1,30.226,0.975032258064516,18.9,-2.8
1989,2,5.842,0.324555555555556,25,0
1989,3,14.224,0.618434782608696,NA,NA
1989,4,0,0,33.9,6.7
1989,5,2.794,0.0901290322580645,35.6,7.8
1989,6,0,0,41.65,14.14
1989,7,93.218,0.125293010752688,41.19,16.68
1989,8,24.13,0.0324327956989247,35.27,14.11
1989,9,15.494,0.0215194444444444,34.58,10.14
1989,10,28.702,0.0385779569892473,32.48,0.059
1989,11,0,0,26.42,-3.161
1989,12,2.286,0.00307258064516129,22.53,-8.38
1990,1,11.43,0.0153629032258065,22.4,-5.596
1990,2,20.32,0.0302380952380952,24.87,-8.65
1990,3,4.064,0.00546236559139785,28.48,-3.912
1990,4,3.556,0.00493888888888889,31.74,3.526
1990,5,3.556,0.00477956989247312,35.65,3.877
1990,6,16.764,0.0232833333333333,42.64,13.02
1990,7,83.058,0.111637096774194,35.84,17.05
1990,8,63.5,0.0853494623655914,36.11,14.01
1990,9,46.228,0.0642055555555556,36.74,13.19
1990,10,12.446,0.0167284946236559,28.92,0.999
1990,11,49.784,0.0691444444444444,25.34,-2.952
1990,12,26.924,0.0361881720430108,20.33,-10.16
1991,1,23.876,0.0320913978494624,19.47,-8.11
1991,2,25.654,0.0381755952380952,23.22,-2.467
1991,3,25.654,0.0344811827956989,25.59,-4.625
1991,4,0,0,29.32,-0.087
1991,5,6.096,0.00819354838709677,34.1,3.385
1991,6,17.526,0.0243416666666667,38.96,7.27
1991,7,61.214,0.0822768817204301,38.95,16.52
1991,8,43.688,0.0587204301075269,35.43,16.49
1991,9,37.084,0.0515055555555556,34.76,11.07
1991,10,0,0,32.61,12.13
1991,12,102.87,0.168639344262295,19.91,-2.151
1992,1,22.352,0.0300430107526882,16.35,-6.991
1992,2,16.002,0.0229913793103448,22.14,-1.127
1992,3,43.434,0.0583790322580645,24.37,0.001
1992,4,1.524,0.00211666666666667,33.42,3.955
1992,5,70.104,0.0942258064516129,31.13,8.52
1992,6,10.16,0.0141111111111111,38.72,10.58
1992,7,52.07,0.069986559139785,40.11,15.32
1992,8,55.372,0.0833915662650602,37.32,14.22
1992,9,0,0,33.69,11.84
1992,10,10.414,0.013997311827957,32.41,6.971
1992,11,6.604,0.00917222222222222,24.67,-5.831
1992,12,46.736,0.0628172043010753,19.71,-5.073
1993,1,59.436,0.0798870967741935,19.76,-3.447
1993,2,19.05,0.0283482142857143,20.56,-1.565
1993,3,5.588,0.00751075268817204,27.85,-2.189
1993,4,0,0,32.25,0.207
1993,5,11.176,0.0150215053763441,35.58,7.89
1993,6,0,0,40.23,8.65
1993,7,16.51,0.0221908602150538,39.11,16.75
1993,8,46.736,0.0628172043010753,38.55,16.77
1993,9,1.27,0.00176388888888889,35.02,9.96
1993,10,6.35,0.00853494623655914,32.68,-1.485
1993,11,28.448,0.0395111111111111,24.62,-5.917
1993,12,13.208,0.017752688172043,21.55,-5.18
1994,1,3.302,0.00443817204301075,23.25,-4.524
1994,2,13.97,0.0207886904761905,23.85,-7.03
1994,3,14.986,0.0201424731182796,27.59,-1.891
1994,4,3.556,0.00493888888888889,30.97,1.902
1994,5,3.048,0.00409677419354839,37.28,8
1994,6,3.556,0.00493888888888889,43.87,17.55
1994,7,18.796,0.0252634408602151,39.55,17.12
1994,8,32.004,0.0430161290322581,39.13,17.18
1994,9,26.924,0.0373944444444444,34.95,14.1
1994,10,13.208,0.017752688172043,30.24,2.634
1994,11,63.754,0.0885472222222222,26.64,-6.061
1994,12,77.47,0.104126344086022,20.19,-2.096
1995,1,21.082,0.0283360215053763,21.81,-5.131
1995,2,21.336,0.03175,22.9,0.978
1995,3,16.002,0.021508064516129,25.66,-3.887
1995,4,1.778,0.00246944444444444,30.55,-1.755
1995,5,2.286,0.00307258064516129,33.37,2.985
1995,6,0.254,0.000352777777777778,37.92,9.28
1995,7,38.862,0.0522338709677419,42.32,14.4
1995,8,28.194,0.0378951612903226,40.96,17.15
1995,9,73.406,0.101952777777778,38.17,10.76
1995,10,2.286,0.00307258064516129,31.47,5.144
1995,11,5.334,0.00740833333333333,26.74,-1.345
1995,12,4.572,0.00625444596443228,40.99,-4.261
1996,1,0.508,0.000695890410958904,23.01,-6.39
1996,2,7.366,0.0105833333333333,25.58,-3.105
1996,3,0.254,0.000341397849462366,26.96,-0.49
1996,4,4.318,0.00599722222222222,34.46,2.002
1996,5,0,0,38.88,8.75
1996,6,61.468,0.0853722222222222,40.1,14.28
1996,7,79.248,0.106516129032258,38.8,17.7
1996,8,17.78,0.0238978494623656,38.83,15.62
1996,9,38.608,0.0536222222222222,35.08,11.12
1996,10,49.276,0.0662311827956989,34.06,-1.422
1996,11,6.858,0.009525,26.11,-3.633
1996,12,0,0,23.25,-9.06
1997,1,25.908,0.0348225806451613,21.41,-9.83
1997,2,40.64,0.0604761904761905,21.72,-4.381
1997,3,3.048,0.00409677419354839,28.97,-0.279
1997,4,2.794,0.00388055555555556,29.87,-2.423
1997,5,29.718,0.0399435483870968,38.15,11.47
1997,6,4.572,0.00635,40.53,12.03
1997,7,35.814,0.0481370967741935,41.09,16.22
1997,8,39.116,0.0525752688172043,36.9,16.71
1997,9,27.178,0.0377472222222222,36.64,13.6
1997,10,9.144,0.0122903225806452,32.99,0.197
1997,11,17.526,0.0243416666666667,26.94,-1.007
1997,12,50.292,0.0675967741935484,18.6,-6.621
1998,1,1.27,0.00170698924731183,21.2,-3.555
1998,2,30.48,0.0453571428571429,21.8,-3.452
1998,3,28.956,0.0389193548387097,29.09,-4.167
1998,4,1.016,0.00141111111111111,30.9,-1.643
1998,5,0,0,30.43,10.67
1998,8,19.558,0.0954048780487805,36.38,17.82
1998,9,9.398,0.0130527777777778,36.51,14.11
1998,10,27.94,0.0375537634408602,34.04,3.873
1998,11,13.208,0.0183444444444444,25.1,-0.825
1998,12,12.192,0.0163870967741935,22.25,-5.078
1999,1,0,0,26.77,-5.157
1999,2,0,0,25.5,-6.447
1999,3,1.778,0.00238978494623656,28.61,-0.585
1999,4,3.556,0.00493888888888889,31.71,-5.057
1999,5,0,0,34.03,3.417
1999,6,3.81,0.00529166666666667,39.5,6.324
1999,7,91.694,0.123244623655914,40,16.2
1999,8,102.108,0.137241935483871,35.88,16.18
1999,9,39.624,0.0550333333333333,35.63,9.42
1999,10,0.254,0.000341397849462366,33.22,-0.111
1999,11,0,0,28.28,-2.817
1999,12,4.318,0.00580376344086022,22.85,-5.276
2000,1,0.508,0.000682795698924731,25.79,-6.688
2000,2,0.254,0.000364942528735632,25.92,-3.738
2000,3,5.588,0.00751075268817204,27.74,-2.11
2000,4,0,0,35.33,1.629
2000,5,0,0,39.88,9.58
2000,6,41.402,0.0575027777777778,38.92,15.35
2000,7,21.336,0.0286774193548387,39.23,17.44
2000,8,40.64,0.0546236559139785,38.93,13.3
2000,9,2.54,0.00352777777777778,38.24,12.33
2000,10,131.572,0.176844086021505,35.55,3.802
2000,11,25.4,0.0352777777777778,21.41,-2.392
2000,12,6.858,0.00921774193548387,19.83,-4.821
2001,1,28.194,0.0378951612903226,19.86,-5.807
2001,2,4.572,0.00680357142857143,23.59,-5.015
2001,3,3.048,0.00409677419354839,28.18,-1.712
2001,4,13.208,0.0183444444444444,31.52,-1.641
2001,5,9.652,0.0129731182795699,37.03,7.35
2001,6,17.78,0.0246944444444444,39.28,12.93
2001,7,49.276,0.0662311827956989,38.43,16.44
2001,8,56.642,0.0761317204301075,37.84,15.57
2001,9,13.208,0.0183444444444444,36.96,12.83
2001,10,2.286,0.00307258064516129,32.05,4.879
2001,11,5.08,0.00705555555555556,28.3,-4.801
2001,12,5.334,0.00716935483870968,21.46,-6.545
2002,1,1.016,0.00136559139784946,22.37,-6.555
2002,2,23.114,0.101377192982456,21.05,-5.981
2002,12,0.9,0.0257142857142857,14.9,-1.523
2003,1,0.9,0.00120967741935484,23.34,-1.92
2003,2,16.8,0.025,26.14,-4.71
2003,3,3.9,0.00524193548387097,28.68,-1.92
2003,4,0,0,29.76,-0.2
2003,5,0,0,37.36,6.65
2003,6,7.5,0.0104166666666667,37.92,15.02
2003,7,28.1,0.0377688172043011,41.44,16.98
2003,8,16.7,0.0224462365591398,39.65,17.38
2003,9,5.9,0.00819444444444445,35.5,13.38
2003,10,9.5,0.0127688172043011,34.34,1.96
2003,11,19.2,0.0266666666666667,27.16,-3.37
2003,12,11,0.0147849462365591,23.47,-9.71
2004,1,32.6,0.0438172043010753,18.52,-2.282
2004,2,23.2,0.0333333333333333,25.3,-5.924
2004,3,27.3,0.0366935483870968,29.13,0.245
2004,4,24.8,0.0344923504867872,28.41,1.931
2004,5,1.4,0.00188172043010753,34.47,6.801
2004,6,17.4,0.0241666666666667,38.42,13.61
2004,7,53.1,0.0713709677419355,38.16,16.03
2004,8,95.2,0.127956989247312,36.84,14.57
2004,9,28.5,0.0395833333333333,35.46,9.21
2004,10,18.8,0.0252688172043011,33.5,4.515
2004,11,25.1,0.0348611111111111,24.48,-7.08
2004,12,15.1,0.0202956989247312,21.27,-7.55
2005,1,55.7,0.0748655913978495,21.81,-3.633
2005,2,40,0.0595238095238095,18.86,-2.774
2005,3,5.1,0.00685483870967742,25.25,-3.201
2005,4,4.8,0.00666666666666667,29.53,2.401
2005,5,3.1,0.00416666666666667,39.5,7.23
2005,6,0,0,39.91,13.21
2005,7,28.9,0.0388440860215054,40.61,17.38
2005,8,45.2,0.060752688172043,37.52,15.36
2005,9,33.9,0.0470833333333333,35.74,11.74
2005,10,22.9,0.0307795698924731,33.82,6.335
2005,11,0,0,28.91,-8.45
2005,12,3.9,0.00524193548387097,24.89,-5.618
2006,1,2.9,0.00389784946236559,22.63,-5.786
2006,2,2.8,0.00416666666666667,26.09,-3.835
2006,3,6.3,0.00846774193548387,25.93,-4.632
2006,4,1.1,0.00152777777777778,31.81,1.662
2006,5,0,0,35.7,9.61
2006,6,12.2,0.0169444444444444,39.11,17.65
2006,7,98.2,0.131989247311828,39.25,16.62
2006,8,125.3,0.168413978494624,32.91,15.66
2006,9,75.5,0.104861111111111,31.41,9.35
2006,10,62.5,0.084005376344086,32.42,1.376
2006,11,0,0,28.92,-9.84
2006,12,5.8,0.00779569892473118,21.32,-7.18
2007,1,34.5,0.0463709677419355,18.64,-10.03
2007,2,2.4,0.00357142857142857,23.53,-2.96
2007,3,18.6,0.025,30.07,-7.88
2007,4,15.1,0.0209722222222222,30.1,2.102
2007,5,15.4,0.0206989247311828,33.8,8.12
2007,6,8.1,0.01125,39.45,10.74
2007,7,37.3,0.0501344086021505,41.27,15.8
2007,8,10.6,0.014247311827957,35.82,17.42
2007,9,3.8,0.00527777777777778,34.57,12.3
2007,10,0.7,0.000940860215053763,34.64,1.177
2007,11,12.4,0.0172222222222222,28.91,-2.574
2007,12,27.3,0.0366935483870968,24.95,-7.44
2008,1,6.9,0.0092741935483871,20.59,-6.717
2008,2,5.1,0.00732758620689655,26.94,-5.685
2008,3,0,0,28.15,-3.4
2008,4,0,0,31.35,2.075
2008,5,4.7,0.00631720430107527,37.55,4.455
2008,6,0,0,39.23,12.13
2008,7,104.7,0.140725806451613,36.67,17.58
2008,8,72.6,0.0975806451612903,35.48,15.68
2008,9,9.3,0.0129166666666667,34.24,10.45
2008,10,2,0.00268817204301075,32,0.645
2008,11,12,0.0166666666666667,29.29,-0.845
2008,12,10.3,0.0138440860215054,23.05,-8.87
2009,1,11.6,0.0155913978494624,22.22,-5.319
2009,2,3.8,0.0056547619047619,28.85,-4.592
2009,3,14,0.0188172043010753,28.25,-0.845
2009,4,0.4,0.000555555555555556,31.51,2.163
2009,5,17.2,0.0231182795698925,36.46,11.66
2009,6,18.7,0.0259722222222222,37.42,12.63
2009,7,28.3,0.0380376344086022,40.04,18.38
2009,8,9.6,0.0183556405353728,39.31,17.95
2009,10,12.8,0.0372093023255814,30.21,-1.814
2009,11,21.7,0.0301388888888889,27.89,-1.358
2009,12,17,0.0228494623655914,18.59,-5.341
2010,1,64.9,0.0872311827956989,18.36,-4.878
2010,2,25.7,0.0382440476190476,20.45,-1.458
2010,3,4.4,0.00591397849462366,28.32,-0.027
2010,4,6.1,0.00847222222222222,29.21,1.461
2010,5,4.5,0.00604838709677419,35.61,1.497
2010,6,3.8,0.00527777777777778,40.56,13.28
2010,7,29.6,0.0397849462365591,40.33,17.75
2010,8,42.3,0.0568548387096774,39.02,15.93
2010,9,5.2,0.00722222222222222,36.61,12.53
2010,10,21.9,0.0294354838709677,34.6,5.801
2010,11,1.1,0.00152777777777778,26.83,-7.69
2010,12,7.4,0.00994623655913979,24.02,-4.042
2011,1,2.1,0.00282258064516129,23.07,-9.92
2011,2,2.1,0.003125,25.31,-16.59
2011,3,0.4,0.000537634408602151,28.8,-0.459
2011,4,0.3,0.000416666666666667,32.82,2.061
2011,5,0,0,36.21,3.62
2011,6,0.6,0.000833333333333333,41.33,13.74
2011,7,90.6,0.121774193548387,38.61,18.14
2011,8,25.5,0.0342741935483871,40.08,16.7
2011,9,41.3,0.0573611111111111,37.59,13.12
2011,10,4.9,0.00658602150537634,34.51,1.804
2011,11,20.8,0.0288888888888889,29.26,-2.745
2011,12,56.4,0.0758064516129032,22.77,-6.834
2012,1,2.9,0.00389784946236559,22.13,-2.879
2012,2,14.3,0.0205459770114943,22.94,-4.042
2012,3,5.7,0.00766129032258065,29.51,-6.2
2012,4,0.7,0.000972222222222222,34.9,1.497
2012,5,4.3,0.00577956989247312,36.74,7.95
2012,6,0.3,0.000416666666666667,40.23,15.11
2012,7,38.7,0.0520161290322581,38.74,16.93
2012,8,12.4,0.0166666666666667,38.95,16.8
2012,9,9.7,0.0134722222222222,37.45,8.79
2012,10,0.1,0.000134408602150538,33.21,4.219
2012,11,2.8,0.00388888888888889,29.31,-2.146
2012,12,11.4,0.0153225806451613,24.05,-5.429
2013,1,10.4,0.0139784946236559,22.11,-11.14
2013,2,7,0.0104166666666667,21.64,-8.26
2013,3,4.4,0.00591397849462366,30.36,-1.478
2013,4,1.4,0.00194444444444444,31.81,2.829
2013,5,0.8,0.0010752688172043,35.35,6.299
2013,6,4.2,0.00583333333333333,40,16.2
2013,7,58.4,0.078494623655914,37.27,17.19
2013,8,56.3,0.0756720430107527,37.12,15.8
2013,9,70.7,0.0981944444444444,34.54,10.08
2013,10,0,0,31.4,2.13
2013,11,0,0,23.4,3.461
